customer_id,age,gender,tenure_months,contract_type,monthly_charges,total_charges,internet_service,phone_service,avg_monthly_gb_used,num_support_tickets,avg_monthly_minutes,satisfaction_score,payment_method,num_additional_services,last_interaction_date,churned,billing_complaint_count,competitor_offer_received,network_outage_hours,last_plan_change_days,charge_per_tenure,support_rate,tenure_x_charges,satisfaction_x_tickets,is_new_customer,is_high_spender,low_satisfaction,charges_to_total_ratio,gb_per_charge,minutes_per_charge
TC-004711,32.87473853,Male,10.14961926,Month-to-month,69.24,656.42,DSL,Yes,11.7,4,324.0,7.8,Bank transfer,2,14/06/2024,1,4,0,0.8,13.0,6.821930776544223,0.39410345329544905,702.7596375623999,31.2,0,0,0,0.10548124676274337,0.16897746967071056,4.679376083188909
TC-000692,59.38994705,Female,3.446550716,Month-to-month,98.48,251.15,DSL,No,9.46,1,306.8,6.0,Electronic check,5,23/06/2024,1,1,0,38.8,30.0,28.573495101297677,0.290145157405541,339.41631451168,6.0,1,1,0,0.39211626518017123,0.09606011372867587,3.115353371242892
TC-000066,62.34360043,Male,1.386581514,Two year,94.35,120.78,Fiber optic,Yes,9.56,4,349.5,5.5,Bank transfer,0,21/06/2024,0,2,0,0.1,53.0,68.04504390644861,2.8847925344546317,130.82396584589998,22.0,1,1,0,0.7811723795330352,0.10132485426603074,3.7042925278219396
TC-003427,45.78853269,Female,67.60965934,Month-to-month,85.87,5834.73,Fiber optic,Yes,3.15,1,258.2,4.7,Credit card,4,21/06/2024,1,4,1,13.6,82.0,1.2700847902245918,0.014790785958129635,5805.6414475258,4.7,0,1,0,0.014717047746853755,0.036683358565273085,3.0068708512868287
TC-004821,39.62541783,Female,27.31962257,One year,62.14,1626.23,DSL,Yes,28.8,0,335.8,6.0,Credit card,2,19/06/2024,0,2,0,4.5,59.0,2.2745555814609486,0.0,1697.6413464998,0.0,0,0,0,0.03821107715390812,0.4634695848084969,5.403926617315739
TC-000394,69.47188149,Male,71.08059106,Month-to-month,50.9,77.11,No,Yes,7.31,4,282.7,5.2,Credit card,5,28/05/2024,0,5,0,1.1,150.0,0.7160885867850294,0.05627415220314573,3618.002084954,20.8,0,0,0,0.6600959668006744,0.143614931237721,5.554027504911591
TC-001425,26.32786209,Male,25.96379097,Month-to-month,84.25,2293.74,DSL,Yes,0.47,1,335.6,2.3,Credit card,5,11/06/2024,1,4,0,21.2,99.0,3.244903646672672,0.0385151768151059,2187.4493892225,2.3,0,1,1,0.03673040536416508,0.005578635014836795,3.9833827893175076
TC-000643,38.10612973,Female,37.51890719,Month-to-month,99.26,3624.68,Fiber optic,Yes,19.43,6,410.6,5.4,Mailed check,2,19/06/2024,0,0,0,0.7,9.0,2.6455994439639756,0.1599193699756584,3724.1267276794,32.400000000000006,0,1,0,0.027384486354657518,0.19574853919000604,4.136610920814023
TC-002836,37.50242706,Female,3.589712689,Month-to-month,106.82,289.3,No,No,7.75,1,361.7,7.4,Credit card,3,25/06/2024,0,2,0,2.6,57.0,29.757256152373923,0.27857382655283586,383.45310943898,7.4,1,1,0,0.3692360871068095,0.0725519565624415,3.3860700243400115
TC-001739,56.25461388,Male,7.402491848,Month-to-month,84.02,547.54,Fiber optic,Yes,54.48,1,370.8,4.9,Bank transfer,3,30/06/2024,1,3,0,39.1,5.0,11.350232019870505,0.1350896455590396,621.95736506896,4.9,0,1,0,0.1534499762574424,0.6484170435610569,4.413234944060938
